GEOID,State Code (FIPS),County Code (FIPS),County,SOCIAL,ECONOM,HOUSING/INFRA,COMM CAPITAL,INSTITUTIONAL,ENVIRONMENT,TOT RESIL2020
17151,17,151,Pope,0.554780187,0.374994616,0.182851902,0.358880015,0.33424096,0.545938288,2.351685967
17153,17,153,Pulaski,0.595045188,0.392954831,0.194019134,0.368097668,0.362659382,0.541355496,2.454131699
17155,17,155,Putnam,0.64383997,0.468998387,0.249554651,0.386529406,0.421801247,0.542261585,2.712985246
17157,17,157,Randolph,0.632589607,0.495973199,0.251318661,0.409207107,0.396621334,0.531077562,2.71678747
17159,17,159,Richland,0.64235735,0.477186937,0.272750539,0.420294996,0.413409632,0.524065142,2.750064595
17161,17,161,Rock Island,0.632177258,0.546339243,0.32335244,0.335710784,0.400474541,0.516486711,2.754540977
17163,17,163,St. Clair,0.650925651,0.507359718,0.299858539,0.334033757,0.413364335,0.503098605,2.708640605
17165,17,165,Saline,0.607353306,0.464744596,0.252614032,0.40762404,0.365428514,0.525965265,2.623729753
17167,17,167,Sangamon,0.667946422,0.518774735,0.294846315,0.39540589,0.403707591,0.494153219,2.774834173
17169,17,169,Schuyler,0.592774415,0.423412998,0.261546578,0.412175668,0.380660388,0.526588458,2.597158505
17171,17,171,Scott,0.630240518,0.444402431,0.277642042,0.411568642,0.400068162,0.523207522,2.687129316
17173,17,173,Shelby,0.640126975,0.492442745,0.253831066,0.420270527,0.403757394,0.525542167,2.735970875
17175,17,175,Stark,0.63170922,0.449525254,0.275617157,0.415478319,0.411532285,0.533854072,2.717716306
17177,17,177,Stephenson,0.632525881,0.508258742,0.283707337,0.375047033,0.383254265,0.526600986,2.709394244
17179,17,179,Tazewell,0.660374116,0.537304376,0.310622948,0.39657066,0.416147413,0.509973055,2.830992568
17181,17,181,Union,0.631423443,0.462462378,0.22165888,0.389796934,0.359207912,0.543520665,2.608070212
17183,17,183,Vermilion,0.61808629,0.51609544,0.315393984,0.381912646,0.397664874,0.513312624,2.742465859
17185,17,185,Wabash,0.629933363,0.475684008,0.248666327,0.380016935,0.388681979,0.525493782,2.648476393
17187,17,187,Warren,0.633958585,0.502589129,0.302399745,0.384030217,0.40843601,0.534028533,2.76544222
17189,17,189,Washington,0.665539126,0.510805578,0.252317148,0.469099594,0.435096318,0.526925363,2.859783127
17191,17,191,Wayne,0.600912207,0.457730657,0.212319971,0.432789154,0.392526496,0.524662715,2.620941201
17193,17,193,White,0.617378178,0.463004414,0.272315809,0.426680117,0.394184279,0.518677756,2.692240553
17195,17,195,Whiteside,0.638254666,0.515923316,0.31419545,0.374675633,0.383285497,0.521022282,2.747356844
17197,17,197,Will,0.678598165,0.548289673,0.298078607,0.356104756,0.39600824,0.524036345,2.801115787
17199,17,199,Williamson,0.643301118,0.506460433,0.272323549,0.39541089,0.355710343,0.528235928,2.701442261
17201,17,201,Winnebago,0.62828085,0.531102483,0.314297391,0.340231612,0.387880299,0.495652397,2.697445034
17203,17,203,Woodford,0.678579817,0.508587311,0.276576703,0.412304884,0.416286968,0.5286135,2.820949183
